Label,Count,Wing_Area
MP_MalKopp1.1_B3_1_M__12.tif,108,C3
MP_MalKopp1.1_B3_1_M__12.tif,100,E1
MP_MalKopp1.1_B3_1_M__12.tif,99,E2
MP_MalKopp1.1_B3_1_M__12.tif,90,F1
MP_MalKopp1.1_B3_1_M__12.tif,85,F2
MP_MalKopp1.1_B3_1_M__12.tif,116,F3
MP_MalKopp1.1_B3_1_M__12.tif,125,G1
MP_MalKopp1.1_B3_1_M__12.tif,85,G2
MP_MalKopp1.1_B3_1_M__12.tif,123,G3
MP_MalKopp1.1_B3_1_M__13.tif,78,A1
MP_MalKopp1.1_B3_1_M__13.tif,100,A2
MP_MalKopp1.1_B3_1_M__13.tif,84,B1
MP_MalKopp1.1_B3_1_M__13.tif,88,B2
MP_MalKopp1.1_B3_1_M__13.tif,85,B3
MP_MalKopp1.1_B3_1_M__13.tif,78,C1
MP_MalKopp1.1_B3_1_M__13.tif,99,C2
MP_MalKopp1.1_B3_1_M__13.tif,119,C3
MP_MalKopp1.1_B3_1_M__13.tif,108,E1
MP_MalKopp1.1_B3_1_M__13.tif,95,E2
MP_MalKopp1.1_B3_1_M__13.tif,95,F1
MP_MalKopp1.1_B3_1_M__13.tif,98,F2
MP_MalKopp1.1_B3_1_M__13.tif,120,F3
MP_MalKopp1.1_B3_1_M__13.tif,136,G1
MP_MalKopp1.1_B3_1_M__13.tif,90,G2
MP_MalKopp1.1_B3_1_M__13.tif,128,G3
MP_MalKopp1.1_B3_1_M__14.tif,87,A1
MP_MalKopp1.1_B3_1_M__14.tif,77,A2
MP_MalKopp1.1_B3_1_M__14.tif,98,B1
MP_MalKopp1.1_B3_1_M__14.tif,86,B2
MP_MalKopp1.1_B3_1_M__14.tif,114,B3
MP_MalKopp1.1_B3_1_M__14.tif,79,C1
MP_MalKopp1.1_B3_1_M__14.tif,96,C2
MP_MalKopp1.1_B3_1_M__14.tif,135,C3
MP_MalKopp1.1_B3_1_M__14.tif,131,E1
MP_MalKopp1.1_B3_1_M__14.tif,120,E2
MP_MalKopp1.1_B3_1_M__14.tif,105,F1
MP_MalKopp1.1_B3_1_M__14.tif,115,F2
MP_MalKopp1.1_B3_1_M__14.tif,124,F3
MP_MalKopp1.1_B3_1_M__14.tif,127,G1
MP_MalKopp1.1_B3_1_M__14.tif,93,G2
MP_MalKopp1.1_B3_1_M__14.tif,102,G3
MP_MalKopp1.1_B3_2_F__01.tif,107,A1
MP_MalKopp1.1_B3_2_F__01.tif,110,A2
MP_MalKopp1.1_B3_2_F__01.tif,121,B1
MP_MalKopp1.1_B3_2_F__01.tif,99,B2
