Label,Count,Wing_Area
MP_BipKopp1.1_B3_1_M__02.tif,81,B2
MP_BipKopp1.1_B3_1_M__02.tif,97,B3
MP_BipKopp1.1_B3_1_M__02.tif,87,C1
MP_BipKopp1.1_B3_1_M__02.tif,104,C2
MP_BipKopp1.1_B3_1_M__02.tif,123,C3
MP_BipKopp1.1_B3_1_M__02.tif,129,E1
MP_BipKopp1.1_B3_1_M__02.tif,108,E2
MP_BipKopp1.1_B3_1_M__02.tif,108,F1
MP_BipKopp1.1_B3_1_M__02.tif,107,F2
MP_BipKopp1.1_B3_1_M__02.tif,129,F3
MP_BipKopp1.1_B3_1_M__02.tif,136,G1
MP_BipKopp1.1_B3_1_M__02.tif,74,G2
MP_BipKopp1.1_B3_1_M__02.tif,92,G3
MP_BipKopp1.1_B3_1_M__03.tif,87,A1
MP_BipKopp1.1_B3_1_M__03.tif,94,A2
MP_BipKopp1.1_B3_1_M__03.tif,96,B1
MP_BipKopp1.1_B3_1_M__03.tif,96,B2
MP_BipKopp1.1_B3_1_M__03.tif,103,B3
MP_BipKopp1.1_B3_1_M__03.tif,93,C1
MP_BipKopp1.1_B3_1_M__03.tif,110,C2
MP_BipKopp1.1_B3_1_M__03.tif,114,C3
MP_BipKopp1.1_B3_1_M__03.tif,70,E1
MP_BipKopp1.1_B3_1_M__03.tif,103,E2
MP_BipKopp1.1_B3_1_M__03.tif,100,F1
MP_BipKopp1.1_B3_1_M__03.tif,111,F2
MP_BipKopp1.1_B3_1_M__03.tif,114,F3
MP_BipKopp1.1_B3_1_M__03.tif,145,G1
MP_BipKopp1.1_B3_1_M__03.tif,98,G2
MP_BipKopp1.1_B3_1_M__03.tif,109,G3
MP_BipKopp1.1_B3_1_M__04.tif,84,A1
MP_BipKopp1.1_B3_1_M__04.tif,79,A2
MP_BipKopp1.1_B3_1_M__04.tif,87,B1
MP_BipKopp1.1_B3_1_M__04.tif,71,B2
MP_BipKopp1.1_B3_1_M__04.tif,89,B3
MP_BipKopp1.1_B3_1_M__04.tif,88,C1
MP_BipKopp1.1_B3_1_M__04.tif,96,C2
MP_BipKopp1.1_B3_1_M__04.tif,115,C3
MP_BipKopp1.1_B3_1_M__04.tif,112,E1
MP_BipKopp1.1_B3_1_M__04.tif,97,E2
MP_BipKopp1.1_B3_1_M__04.tif,106,F1
MP_BipKopp1.1_B3_1_M__04.tif,100,F2
MP_BipKopp1.1_B3_1_M__04.tif,111,F3
MP_BipKopp1.1_B3_1_M__04.tif,132,G1
MP_BipKopp1.1_B3_1_M__04.tif,95,G2
MP_BipKopp1.1_B3_1_M__04.tif,121,G3
MP_BipKopp1.1_B3_1_M__05.tif,85,A1
MP_BipKopp1.1_B3_1_M__05.tif,91,A2
MP_BipKopp1.1_B3_1_M__05.tif,93,B1
MP_BipKopp1.1_B3_1_M__05.tif,106,B2
MP_BipKopp1.1_B3_1_M__05.tif,120,B3
MP_BipKopp1.1_B3_1_M__05.tif,95,C1
MP_BipKopp1.1_B3_1_M__05.tif,89,C2
MP_BipKopp1.1_B3_1_M__05.tif,120,C3
MP_BipKopp1.1_B3_1_M__05.tif,105,E1
MP_BipKopp1.1_B3_1_M__05.tif,95,E2
MP_BipKopp1.1_B3_1_M__05.tif,114,F1
MP_BipKopp1.1_B3_1_M__05.tif,103,F2
MP_BipKopp1.1_B3_1_M__05.tif,111,F3
MP_BipKopp1.1_B3_1_M__05.tif,117,G1
MP_BipKopp1.1_B3_1_M__05.tif,101,G2
MP_BipKopp1.1_B3_1_M__05.tif,114,G3
MP_BipKopp1.1_B3_1_M__06.tif,99,A1
MP_BipKopp1.1_B3_1_M__06.tif,68,A2
MP_BipKopp1.1_B3_1_M__06.tif,83,B1
MP_BipKopp1.1_B3_1_M__06.tif,90,B2
MP_BipKopp1.1_B3_1_M__06.tif,115,B3
MP_BipKopp1.1_B3_1_M__06.tif,100,C1
MP_BipKopp1.1_B3_1_M__06.tif,106,C2
MP_BipKopp1.1_B3_1_M__06.tif,128,C3
MP_BipKopp1.1_B3_1_M__06.tif,106,E1
MP_BipKopp1.1_B3_1_M__06.tif,109,E2
MP_BipKopp1.1_B3_1_M__06.tif,104,F1
MP_BipKopp1.1_B3_1_M__06.tif,110,F2
MP_BipKopp1.1_B3_1_M__06.tif,115,F3
MP_BipKopp1.1_B3_1_M__06.tif,137,G1
MP_BipKopp1.1_B3_1_M__06.tif,106,G2
MP_BipKopp1.1_B3_1_M__06.tif,121,G3
MP_BipKopp1.1_B3_1_M__07.tif,85,A1
MP_BipKopp1.1_B3_1_M__07.tif,81,A2
MP_BipKopp1.1_B3_1_M__07.tif,93,B1
MP_BipKopp1.1_B3_1_M__07.tif,84,B2
MP_BipKopp1.1_B3_1_M__07.tif,95,B3
MP_BipKopp1.1_B3_1_M__07.tif,79,C1
MP_BipKopp1.1_B3_1_M__07.tif,100,C2
MP_BipKopp1.1_B3_1_M__07.tif,118,C3
MP_BipKopp1.1_B3_1_M__07.tif,95,E1
MP_BipKopp1.1_B3_1_M__07.tif,98,E2
MP_BipKopp1.1_B3_1_M__07.tif,91,F1
MP_BipKopp1.1_B3_1_M__07.tif,102,F2
MP_BipKopp1.1_B3_1_M__07.tif,130,F3
MP_BipKopp1.1_B3_1_M__07.tif,119,G1
MP_BipKopp1.1_B3_1_M__07.tif,85,G2
MP_BipKopp1.1_B3_1_M__07.tif,122,G3
MP_BipKopp1.1_B3_1_M__08.tif,102,A1
MP_BipKopp1.1_B3_1_M__08.tif,83,A2
MP_BipKopp1.1_B3_1_M__08.tif,84,B1
MP_BipKopp1.1_B3_1_M__08.tif,99,B2
MP_BipKopp1.1_B3_1_M__08.tif,110,B3
MP_BipKopp1.1_B3_1_M__08.tif,90,C1
MP_BipKopp1.1_B3_1_M__08.tif,105,C2
MP_BipKopp1.1_B3_1_M__08.tif,110,C3
MP_BipKopp1.1_B3_1_M__08.tif,110,E1
MP_BipKopp1.1_B3_1_M__08.tif,108,E2
MP_BipKopp1.1_B3_1_M__08.tif,105,F1
MP_BipKopp1.1_B3_1_M__08.tif,99,F2
